時間戳記,檔案版本,暱稱,縣市區,路名（區域）,數量,派送時間,發送狀況,備註,已整理過請打勾
2014/4/13 下午 10:52:00,Bee140405B-W  服貿對看病有什麼影響？,Bee>Z,台北市士林區,華光街、美崙街49巷、華聲街、美德街,170,4/13/2014,,白天好熱XDDDDD,
2014/4/13 下午 11:14:38,吵什麼服貿協議(黑白)/Bee140409M醫療版.pdf,路過蜂,台北市北投區,立農街一段 187巷,各25,4/13/2014,"晚上沒什麼人走,適合害羞初心者",,
2014/4/13 下午 11:24:26,Bee140409M醫療版、彩色漫畫版、,Jhen-Yi,高雄市楠梓區,楠梓火車站~建楠路夜市,約1000份,04/13/2014,群眾大多有善，僅有零星反對,,
2014/4/13 下午 11:55:30,先立法再審查(彩色雙面),屈肯,台中市西區,從公益路77號到綠園道周邊,150,4/13/2014,"勤美術館那一條路是私人土地所以不能發!

","1.被問為什麼要出來發傳單，簡單聊了一下之後用賴傳小蜜蜂戰鬥隊粉絲團給對方看XD
2.要想好宣傳詞才不會被認為是廣告單
3.還有人給了我們一疊約一百張貼紙「可回收垃圾-服貿、黑箱、核4、馬卡茸」大概是這樣的內容，不知道下次要不要釘在傳單上一起發XDD",
2014/4/14 上午 12:07:41,___v20140405,郝開馨,新北市土城區,中央路1段118巷 學成路99巷 裕民路67巷 (住家信箱),200,1030411,,,
2014/4/14 上午 12:09:37,Bee140409M醫療版,王尋城,新北市五股區,成泰路一段２巷,200份,4132014,200份文宣至社區信箱投遞。,挾職務之便，無困難。,
2014/4/14 上午 12:24:48,Bee140405,OD哥,嘉義縣民雄鄉,民溪路到保安街,30,04/12/2014,,,
2014/4/14 上午 12:36:00,"140405B-W ,菜市場阿公阿罵漫畫版",Eason,高雄市前鎮區、鳳山區,瑞隆路三角公園、早市場(崗山南街、保泰路和善士街周邊),1300張,4/13/2014,"時間約一個半小時 ，我們分成三組，總共發了約1300張。
公園組戰力超強，不到一小時處理了450張;早市場人超多，多是婆婆媽媽，分成兩組進擊，共處理了約850張。
我是市場組之一，一人舉標語""關心服貿 守護台灣""，兩人發傳單，採掃街模式。態度禮貌的話大多能接受，還有好心大嬸要請飲料，就感心! ","另一組市場組表示:
標語太中立，很多人搞不清楚我們是支持還是反對。
有遇到阿伯跑來說服貿絕對不能過，
我回答他所以我們要讓民眾知道為什麼不能過，
讓人民自己去思考，我們為什麼反對。

也遇到有民眾捐款，因為覺得我們愛台灣(淚)。
當然也遇到有人問我們服貿開放的好處為什麼不提，
對岸開放這麼多資源，我是回答他說那政府為什麼不深耕台灣，
提升台灣本身的競爭力，而要去依靠大陸呢?
不過人家聽聽就走掉了。Q_Q",
2014/4/14 上午 1:15:52,BEE140405黑白,文山小蜂隊,台北市文山區,萬芳醫院沿著興隆路三段，再到興德市場,約500,4/12/2014,還算順利，天氣太熱了，接近中午時去發真的很考驗體力（倒）,"文山蜜蜂相見歡part.1，由Mayer召集，大概有11人參加一起協助發放，以萬芳醫院為中心，沿著興隆路三段往興德市場的方向發送，多以路人＆沿路店家為主。人多好像真的比較有勇氣！在興德市場跟一個外省奶奶說請看一下服貿對醫療有什麼影響，被她生氣地罵了：妳胡說什麼..只好摸摸鼻子走掉，因為奶奶居然還瞪著我...XD
不過也有遇到人很好的豬肉攤大叔，問我們是反還是反反，得知是反服貿後很開心的拿dm並要我們繼續加油。還有一對夫妻拿了dm後要我們到興隆公園（馬英九他媽媽家）那發放，說因為馬先生都看不到也聽不到XD",
2014/4/14 上午 1:21:33,兩岸監督條例,阿中,竹南鎮,火車站,400,4/12,從早上10點開始約發放1個半小時後全部發完，共有七位同伴參加，發送範圍為火車前後站。發送狀況良好，約7成左右民眾會拿取(可能是彩色漫畫版比較會吸引人興趣。) ，並沒有明顯指責或阻擾發放情形。另外，在11點半發送完後在後站與一位60 up 的阿伯討論他對服貿和太陽花學運的看法，討論約半個小時後結束。,"以下補充簡單與阿伯討論心得：
１．阿伯認為守體制內規定大於一切抗爭手段，簡單來說他認為學生應該採正當程序來進行抗爭，即使有張慶忠３０秒也是如此，而無法理解學生會因迫切緊急的必要，而採取違法手段抗爭。

２．十分採信媒體訊息（他看公視）而認為學生訴求變來變去，而我們特　別跟他說媒體訊息剪接不夠完整，才有我們在這邊發送文宣和街頭討論來補足資訊。

　　整個過程中算是理性溝通，無情緒化爭論場面出現。這種歲數願意跟我們好好討論的阿伯應該是不常見阿……總之上了一場街頭溝通課！",
2014/4/14 上午 1:50:02,《服貿干我什麼事？》由Nc Chen 提供,蜜蜂子,台中市沙鹿區,沙鹿火車站延巨業總站方向到千葉火鍋,共300左右,4/12/2014,"和另一個小蜜蜂去發。個人這邊的發送狀況是八成以上民眾知道服貿，但不清楚服貿在做什麼，顯示傳統媒體壟斷資訊的狀況滿嚴重。但其中有表態的大部分支持反服貿（不只支持運動，還反服貿），其中又有少數可以提出有政院版和民間版監督條例的事情，只有被一名先生說學生不懂應該回家。

狀況是滿友善的，我會走進顧店的店家去發，反正大家看起來不太忙一臉很無聊的樣子XDDD",因為是第一次，不管是解難還是被質疑表現得都不太好，慢慢會知道怎麼應對吧:) 不過面對鄉親，台語不輪轉真的是個問題耶……。還有沙鹿小蜜蜂缺夥伴哦：Ｐ,
2014/4/14 上午 2:09:43,Bee140405,蝦蝦,台北市,華西街/西園路一段,200,4/13/2014,投郵筒，大致順利,"沿途遇到認識的伯伯，稍微解釋了一下也給他一張傳單，他說傳單字有點太小
後來再經過的時候看到他戴著老花眼鏡，逐字逐句的念(念出來的那種念)，還在想是否有更簡單讓老年人了解的方法",
2014/4/14 上午 2:52:28,Bee140405B-W 服貿x醫療,,新北土城區,延和路88~146號巷內+金城路三段139.149巷內,400,04/13/2014,"上次發是下班時間所以發延和路大馬路,這次白天發巷內
剛好遇到的住戶都有看,不會直接丟掉",,
2014/4/14 上午 3:02:37,Bee140405與民間版vs政府版(外框)_fix.pdf,景道,新北市汐止區,"中興路從大同路開始到福德三路止的直線,中興路150巷,與死巷的短小巷子內等",300左右,4/14/2014,投遞信箱,"深夜快遞....沒有遇到什麼困難,頂多路人經過好奇盯著看。特別以彩色與黑白各一的方式,為了避免被當dm丟掉而不訂在一起,事前折好後,用手大概可以抓住的厚度捆成一捆,會很好抽出來發",
2014/4/14 上午 4:15:47,10013372_10152408049912318_7887065366499385589_o,媽媽,台南市永康區,中正南路,80,2014/4/10-11,在鹽行郵局前發放，每天發40分，約1小時發完，接受度不錯,,
2014/4/14 上午 6:39:48,民間版vs政府版/Bee140405B-W  反服貿不等於反開放/服貿x醫療(變造版),腦洞,台北市萬華區,萬大路0~456號;1~185號;187巷弄,共865,04/14/2014,投信箱，此區公寓密集，還很有得發。,鄰近的區域(雙和街~青年公園間)有許多榮民，若要再朝該區方向發送可能要慎選文宣,
2014/4/14 上午 8:42:05,Bee140405BW.Bee140409M醫療版.醫療漫畫版,中蜂,台北市文山區,木新路二段299巷　三段45巷(+7弄).95巷.155巷2/3,300,4/14/2014,,,
2014/4/14 上午 9:17:23,服貿X醫療？,橘子醬,新北市樹林區,千歲街128～148號/千歲街134巷,約40份,2014/4/13,投入信箱,警察騎車過去也沒注意到我XD,
2014/4/14 上午 11:22:55,監督條例版20140409v3 & Bee140409-M,ㄚㄗ,屏東縣高樹鄉,圖書館,20,4/14/2014,順利,有看到其他人放的相關文宣，連4/11的也有，一瞬間感動，原來我不是一個人QQ,
2014/4/14 上午 11:07:24,健保費漲價、幫陸人買單,,板橋全區,板橋全區,32000,2014/4/14,請派報社夾報,,
2014/4/14 上午 11:48:09,自行創作的醫療文宣,永春蜜蜂,台北市信義區,永春站海華社區,估1500,04/12/2014,夜間7:30-9:30，狀況大致良好,一開始有個目測30歲的男生拿了文宣想追上來，但走到一半又回去了...不知道想幹嘛...另外大廈式管理員不准塞信箱，只能放在管理員桌上。剩下一切良好。,
2014/4/14 下午 1:10:40,醫療版,恰飛,新北市中和區,民享街89巷到91巷,50份,4/14/2014,因為是塞信箱沒有什麼人覺得奇怪,有去問了里長能否放文宣在里民活動中心，但是他卻說不太方便，結果我後來在附近的另一片牆面上看到一張很大的藍色競選海報，看來里長是樁角了。BJ4,
2014/4/14 下午 1:27:32,服貿X醫療,Iris,台北市士林區,前港街,約100份,14/1/2014,從百齡國小後門開始發到前港街26巷,目前發下來的心得是，有門禁管制的大樓都進不去，不知有沒有什麼好辦法？,
2014/4/14 下午 1:54:37,服貿如何影響我們的醫療產業,北蜂北,高雄市鼓山區,裕豐街至華康路繞一圈,450,41414,以報童塞信箱形式發送，送件情況平和。,,
2014/4/14 下午 1:59:42,服貿對看病的影響（大字版）,roamingcat,台北市中正區,從辛亥路三段到羅斯福路三段128巷,500,4/14/2014,"大部分投住家信箱，遇到開店的就有禮貌的請對方看一下。對方就接過仔細看起來，或許是醫療議題比較切身，他們都看得很仔細。沒有人問也沒有人挑釁，我就繼續發下一家了。
",,
2014/4/14 下午 3:38:08,服貿醫療/服貿十問.人民做主,Ruru,北市文山區,萬芳醫院捷運站及附近住家,40+30,4/14/14清晨,在醫院附近發送.一部分投住戶信箱,"早上似乎都是上班上學人潮.趕時間不太會拿,改下班時間傍晚晚上.可能會比較好?
",
2014/4/14 下午 3:46:35,服貿對看病有什麼影響,mi,高雄市苓雅區,和平一路129巷+109巷,100,4/13/2014,下午發放（塞信箱）～蠻順暢的～兩人發放不到半小時發完，有遇到住戶有小尷尬一下，但就打聲招呼:-),"覺得份數太少了>""<下次會印多一點
然後我印的這個版本～我覺得最右邊的結論：比如名醫都跑去大陸，健保補助中國人等有點斷章取義，真的有可能會造成部分人反感
以上是小心得:-)
下次會印兩面：監督條例＋對醫療業的衝擊

大家真的是很棒！加油！",
2014/4/14 下午 4:11:15,兩岸協議監督條例比較版-4,愛逮丸啦,板橋區,四維路103巷,30,04/14/103,"投遞信箱正常,沒發生任何狀況,不過貼在社區布告欄一下子就被撕掉了==",,
2014/4/14 下午 5:11:48,老人醫療版,mo,新北市板橋區,雙十路三段十巷,450,4/12/2014,"1.	傳單在家折三折後，再穿棉手套出去發。
2.	不敢發生人，只敢發信箱。
3.	發送情況良好，沒什麼阻礙。
4.	以為會發很久，沒想到不到1H就發完。
",,
2014/4/14 下午 5:54:29,Bee140409與Bee14409M,,北市內湖,安泰街47~53巷 47沒發完,250左右,4/14/2014,"雙面印刷 戶數比想像的多 >""< 原訂是要發43-53巷的","信箱太高 五樓的信箱看起來跟林書豪的頭一樣 = ="" 有一些塞不到.......",
2014/4/14 下午 6:48:58,Bee140409(監督條例比較版+現行服貿影響醫療版),工蜂Chen,台北市內湖區,港墘路82巷、內湖路一段629巷、內湖路一段629巷40弄、麗山街348巷 、麗山街348巷10弄、麗山街338巷 、麗山街 、麗山街385巷、內湖路一段411巷19弄、內湖路一段411巷,共500份,4/14/2014,,,
2014/4/14 下午 7:06:52,服貿對看病有什麼影響,Gloria,內湖區,"成功路四段30號-50號, 成功路四段182巷6弄和8弄 ",300,4/14/2014,發放信箱為主。下午做的，沒什麼阻礙。,有些大樓管理員說不可以放傳單我就沒放了，但是我下次會趁他不再的時候放XDDD,
2014/4/14 下午 7:36:43,Bee_20140405,zlinchang,蘆洲區,中原路11號到91號,200,2014/4/14,投信箱,,
2014/4/14 下午 8:12:59,Bee140405B-W,chukapi,新北市板橋區,板新路(中山路口到漢生東路口一帶),150,4/11/14,OK~,"發的時候最好是完全塞進信箱裡, 因為發現某棟樓的傳單全部被拿出來塞進某戶人家的信箱裡 =_=
不然就是被丟掉之類的",
2014/4/14 下午 8:26:29,https://www.dropbox.com/s/s30dh5pje81zmif/%E6%9C%8D%E8%B2%BFx%E9%86%AB%E7%99%82_140405-2.pdf,ashu,三重,台北橋捷運站後面...QQ,50,4/14/2014,丟信箱,,
2014/4/14 下午 8:31:27,Bee140409v2,beebee,新北市蘆洲區,長樂路,100,04/14/14,,,
2014/4/14 下午 8:39:40,醫療版 服貿對看病有甚麼影響,小晴,新北市板橋區,文化路 新埔站一號出口 蔥抓餅店,50,04/14/2014,,,
2014/4/14 下午 8:44:05,服貿醫療雙面版,MA,台北市中正區,郵政醫院/婦幼醫院,300,2014/04/12,各發150份左右，主要放在診區空椅子桌子、書報區、夾到雜誌裡、貼廁所,民眾還蠻願意看得，有大圖片吸引到他們目光，意外發現放廁所是非常好的選項!,
2014/4/14 下午 8:54:41,醫療,撒拉阿,基隆,中和路,100,04/14/2014,夜黑風高,沒有困難,
2014/4/14 下午 8:54:59,看病,布魯,台北市中正區,林興里全,890,4/14/2014,,,
2014/4/14 下午 8:58:56,看病,阿蜂,台北市中正區,永功里小部分,350,4/14/2014,,,
2014/4/14 下午 8:59:47,第一彈,阿蜂,台北市中正區,南福里小部分,500,4/14/2014,,,
2014/4/14 下午 9:05:13,醫療版,party,新北市三重區,永福街,400,04/14/2014,投信箱和早餐店，早餐店的叔叔阿姨都有收下，只是有些只留一份，有些會跟我多要幾份放店內，基本上都沒有遇到直接排斥或是不悅的。另外，有一個阿姨建議到台北市發，她說在三重發效用不大（因為三重大部分是綠的）。,,
2014/4/14 下午 9:22:08,監督條例版20140409v3,James,台中市西區,貴和街＆朝陽街,200,04/14/2014,信箱投遞,,
2014/4/14 下午 9:34:51,服貿X醫療?+先立法! 立什麼法? ,J&A,彰化縣伸港鄉,郵局,３０＋４０,04/14/2014 ,"容易被誤會為推銷或填寫問卷的人，所以要快速向他們說明。遇到趕時間的民眾，就請他們將文宣帶回去慢慢看，或和家人分享。
",,
2014/4/14 下午 10:20:27,先立法再審查,小太陽,新北市鶯歌區,鶯桃路91巷到永明街間公寓,50,4/14/104,好藍,too blue,
2014/4/14 下午 10:22:47,先立法再審查,小太陽,桃園縣蘆竹鄉,五福一路到福祿一街,200,4/14/104,略藍,a little blue,
2014/4/14 下午 10:59:21,Bee140405,Syuan,中和區,景平路259巷,50,4/13/2014,投信箱,"個人比較內向，怕別人注意所以挑一大早沒啥人的時候去投信箱
發現這附近好多信箱...一下就投完了有點不過癮XD
下次行動會再加倍印製!!",
2014/4/14 下午 11:26:21,圖解服貿/服貿X醫療？,橘子醬,新北市樹林區,千歲廟後方巷子（保安街二段40巷/千歲街6巷）,160份,2014/4/14,"圖解服貿60份+服貿醫療60份-->一信箱放兩份

服貿醫療40份-->千歲街、樹新路兩家投幣洗衣各20份","1）看PTT說白色很在意禮貌XD，今天遇到一直看我的人,我對他說你好，他就沒管我在做什麼了
2）有遇到住戶出門對我微笑
3）放投幣洗衣有另外用A4紙寫“歡迎自由領取，一起關心你我身邊的大小事”，希望有成效
4）後來遇到垃圾車，住戶們紛紛出門,我就沒繼續了",
2014/4/14 下午 11:32:48,FUMA)10Q+Bee140409v2,rere,新北市,三重區安樂街58號（藥局定點發送）,50,4/13/2014,自由拿取，不強迫接受，發完會持續發放新的資訊,希望有贊助廠商還有可以揪團去投信箱,
2014/4/14 下午 11:38:47,Bee140405,艦長,羅東,羅東火車站,40,4/11/2014,"看到人就發，也有夾在臨停的車上
滿多人都會拿，還有阿姨開始跟我聊天，說很支持學生，不能讓馬政府這樣搞…等等的
狀況還不錯哦!
人來人往的地方發其實滿緊張的，而且你發一個人另一個人也會看到…",,
2014/4/14 下午 11:40:22,服貿醫療版A5,MJ,桃園縣龍潭鄉,240巷-288巷,200,4/11/103,"昨天和朋友去804醫院附近(大致上如地圖紅線顯示)塞/發了200份左右的服貿醫療版A5(印成雙面A4大小)。各民宅無一疏漏地發放(巷子裡面真的住超多人的...)，另外也順便問了店家如下：
1. 便利商店部分：萊爾富可以放, 但是7-11說規定不行
2. 藥局/中藥行部分：看老闆, 問了3家有2家可以(益生藥局宏光藥局)
3. 漫畫店：有問1家(藍色書坊)但不行
4. 麵包店：問1家(金翔鴻)可以
5. 愛心聯盟超市：問1家不行
6. 杏一：問1家不行
吃的都沒問, 因為看起來都在忙。在問的時候沒遇到什麼問題，店家即使拒絕但還是有拿一張參考，大部分都蠻客氣的。",過去在學生時代，社團有發過傳單跟募款，所以臉皮蠻厚的，不過我覺得重點是要對自己的主張有自信，要發的資料我先讀過了解，想一下要怎麼說比較好，被拒絕也不用灰心，但一定要保護自己，最好成群行動。,
2014/4/14 下午 11:54:18,兩岸監督漫畫版,艦長,桃園龍潭,龍潭市區 東龍路到北龍路,50,4/9/2014,"大部分都會拿，而且還會看一下
有的會問些問題
重點來了
漫畫版的真的比較多人有興趣","建議各位有認識的店家可以問他能否放置
我用地緣關係放了兩三疊在冠博科技，陳老闆很熱心，他爸深綠的更熱心XD跟我拿了一大堆說要去發給阿伯們…
然後一路發到Do Tea飲料店，老闆還帶過一打飲料去立法院，所以也丟了不少DM在他那
DO TEA老闆也說，漫畫、簡單、大字的最適合放店裡看",
2014/4/15 上午 12:13:07,bee140405,,蘆洲區,光榮路76號附近能投信的大樓&光榮路97巷,30,4/15/2014,,,
2014/4/15 上午 12:13:24,Bee14040+服貿x醫療不可不知的三大影響,,蘆洲區,光榮路76號附近能投信的大樓&光榮路97巷,30,4/15/2014,,,
2014/4/15 上午 12:13:54,第一彈 Bee140405、第二彈現行服貿影響醫療版: 建議醫院周邊、老人區塊使用,Shun,台中市龍井區,藝術街周遭,各20分,2014/4/15,小試身手，發送數量較少，沒有遇到什麼麻煩~,,
2014/4/15 上午 12:38:13, Bee140405,萬華小蜜蜂,台北市萬華區,廣州西園路口~桂林西園路口(兩側)、桂林西園路口~桂林昆明路口(兩側) ,160,4/14/2014,無異狀,,
2014/4/15 上午 12:45:13,吵什麼服貿協議,阿蓁,苗栗縣竹南鎮,大營路>中正路>大業街,<50,4/12/2014,"無感最多、支持0人、反對3人
年長者會收下, 但對年長者真的不好閱讀
","這次是沿著路, 遇到店家或住家就發文宣的模式
希望讓苗栗人知道電視上在吵的服貿是什麼東西
只是沒遇到支持者會有點灰心XD
",
2014/4/15 上午 12:48:48,1,1,1,1,1,1,1,1,
2014/4/15 上午 1:00:33,20140409v3/Bee140409M醫療版,野生小蜜蜂,台北市大同區,"酒泉街56號~76號, 大龍夜市店家",100,4/14/2014,良好，雖然有店家拒絕擺放但有些願意拿傳單自己看。,"早餐店老闆說想多了解內容給了我勇氣發單QQQQQ
但之後發傳單給其他店家時被發現不怎麼會說話，改半夜塞信箱。
100份很快就發完，考慮下次同一號以抽選方式放，擴散範圍。",
2014/4/15 上午 1:20:41,服貿x醫療_140405-2,小咩媽媽,高雄市苓雅區,惠安街and福建街361巷的部分，投信箱,100,2014 Apr.15 AM 00:00-00:40,因為是半夜，所以沒有什麼干擾。,帶著狗，萬一被發現，可以說是在遛狗。特意在折傳單時，以三摺的方式來摺，面積較大，並且故意在Title上方露出「你知道你要幫大陸人繳健保費嗎？」的字樣。投信箱時盡量讓「服貿x醫療」的Title露出來，引人注意。,
2014/4/15 上午 2:48:23,服貿醫療版,ruru,北市科技大樓站,和平東路三段與基隆路二段附近,60,4/14~15/14,站在捷運六張犁站附近發送 給路過的人+住戶信箱,"好像有點晚發  這時候從捷運站出來的好像都是大學生或比較年輕的人
他們說在FB或網路上看到過 所以會婉拒不拿
因為拿的人不多   也有一點數量(10多份)是投到附近住戶信箱
如何激起支持度呢? 也許會關心的人 不會想拿傳單 避免浪費傳單資源
我是這樣想的",
2014/4/15 上午 9:02:54,Bee140409M醫療版,信義小蜜蜂,台北市信義區,忠孝東路五段31巷18弄,50,04/15/2014,A5大小的文宣對折塞進信箱，盡量讓他卡在信箱口,"八點多發的，住宅區其實沒甚麼人。永吉路30巷這邊真的滿多較老舊的公寓，雖然不太清楚居民的組成，不過不太敢上街想默默進擊信箱的信義小蜜蜂可以來攻略這塊！
太過破舊或塞滿廣告的信箱就跳過不發，早上去印文宣時老闆說算便宜當贊助~",
2014/4/15 上午 10:12:22,Bee140405,kimmy,新北市板橋區,光正街23巷、光正街45巷、光正街9巷、光正街、,200,04/15/14,晚上的住宅區，順利發送。,"本來在板橋車站發的，但拿的人變很少T_T
因此轉往住宅區投信箱。",
2014/4/15 上午 11:24:53,Bee140409MedFB 現行服貿影響醫療版,老油條,台北市萬華區/中正區,汀州路一段及中華路十字路口,200,04/15/2014,"只在十字路口的範圍內分發，看到紅綠燈就回頭；
直接投信箱，信箱已滿或有警衛的大樓都跳過；
部分擴及和平西路的住戶","這裡的十字路口的影印店老闆說曾有人在他那裡印過這份同樣的傳單十多張：請這位小小蜜蜂自首 XDDD
",
2014/4/15 下午 1:51:35,"現行的服貿+門打開,瞎郎顧厝?",H.W.,彰化縣花壇鄉,學府路125巷+圖書館到仁愛街交界+,50,04/15/2014,"早上五點半出發的緣故, 無人! 順利塞到信箱和鐵門縫隙內!!",,
2014/4/15 下午 2:04:33,20140409v3+Bee140409M,庭,新北市永和區,福和橋下林森路/國中路,60,04/15/2014,"早上發送信箱,順利!!",,
2014/4/15 下午 2:58:13,Bee140405,阿啾,高雄市左營區,榮總門診區,80,04/15/2014,"今天第一次街發(之前都是投信箱)，很警張。還好過程蠻順利的，除了在門診區發送給等看病的民眾以外。也可以發給正在等電梯的人，我覺得還不錯，大家都願意拿。
還遇到一個阿姨跟我拿了好幾份文宣說希望要拿自己的社區發。真是太感謝大家了。",繼續加油。,
2014/4/15 下午 3:02:31,Bee140405,阿啾,高雄市左營區,榮總門診區,80,04/15/2014,可以發給再等電梯的人，他們還滿願意拿的。,繼續加油！,
2014/4/15 下午 3:41:09,服貿Ｘ醫療（三大影響）,Tsai Alice,中正區,師大路及晉江街,150,4/15/2014,大部份投信箱，一切順利。,發到某公寓時，一個老婆婆從公寓裡出來，拿著傳單問我是一家一家發嗎？我說是。並說明我是義務做的，因為這件事太嚴重了。她說：「你們真是好辛苦，要感謝你們，這個事情很重要，我拿到傳單也是再發出去。」我連忙說我沒有衝立法院，我能做的只是發發傳單而已。老婆婆說：「這樣很好了，你們各司其職，要不然我們被賣掉了都不知道。」,
2014/4/15 下午 3:41:35,監督條例老人比較版,Tsai Alice,中正區,師大路及晉江街,150,4/15/2014,大部份投信箱，一切順利。,發到某公寓時，一個老婆婆從公寓裡出來，拿著傳單問我是一家一家發嗎？我說是。並說明我是義務做的，因為這件事太嚴重了。她說：「你們真是好辛苦，要感謝你們，這個事情很重要，我拿到傳單也是再發出去。」我連忙說我沒有衝立法院，我能做的只是發發傳單而已。老婆婆說：「這樣很好了，你們各司其職，要不然我們被賣掉了都不知道。」,
2014/4/15 下午 4:01:35,Bee140406.pdf,AYA,新北市土城區,順風路長風新城社區,200份,04/15/2014,"看來下次要再準備多一點傳單
200份不夠發一半社區",無,
2014/4/15 下午 4:12:45,監督,,台北市大安區,樂業街65巷,60,4/15/2014,投信箱,,
2014/4/15 下午 4:57:17,服貿Ｘ醫療（三大影響）與監督條例老人比較版,roamingcat,台北市中正區,師大路及晉江街,各150,4/15/2014,投住戶信箱，一切順利。,（我之前已經回報過了，可是剛剛看成果時沒看到，所以若發現有重複的話，麻煩刪掉）發到某公寓時，有個老婆婆剛好從公寓走出來，老婆婆問我是每家發嗎？我說是，並強調我是義務的。老婆婆說：「真辛苦，真是謝謝你們了。」我不敢當，說自己沒有攻立法院，能做的只是發發傳單而已。老婆婆說：「這樣很好，你們各司其職，還好有你們，要不然我們被賣掉了都不知道。」,
2014/4/15 下午 5:10:08,政院版與民間版比較 ,songpo,桃園縣桃園市,桃一街,50,04/16/2014,這邊都是一些傳統公寓，下班後送到鄰居信箱,,
2014/4/15 下午 5:11:09,政院版與民間版比較 ,angelaliao,新北市板橋區,滿平街84巷,50,04/16/2014,傳統公寓的鄰里,,
2014/4/15 下午 7:01:19,監督條例版20140409v3+,,新北市中和區,"連城路549-456號,連城路428巷5弄,連城路428巷",200份,4/15/2014,,下午時間很順利發送完畢!,
2014/4/15 下午 7:36:24,Bee140409跟Bee140409M,小角蜂,基隆市,安樂市場附近樂一路跟西定路,"兩種各200,共400",04/15/2014,大約是下午五點發到七點，狀況還好，大部份聽到是有關醫療的就會看，但有些老人家會說自己老花眼連看都不看QQ,,
2014/4/15 下午 7:42:41,醫療漫畫,,台北市大安區,安和路二段227巷,60,4/15/2014,信箱,,
2014/4/15 下午 8:06:21,服貿對看病有什麼影響,林口區蜜蜂反抗軍,新北市林口區,林口家樂福,30,04/13/2014,"今天來買點日常用品，傳單一疊有帶著，抽一些些出來，定點發完回家。
今天仍然鎖定較年邁者與帶孩童之家庭發放。
目前每天會在龜山與林口一帶流竄執行小量(20-30)塞信箱，
林口是WeGo選區，龜山這邊是因為有長庚醫院
對於我居住之某林口社區，由於不清楚信箱投放規定，尚未執行投放。
而是採用不經意放置法，假裝沒帶走，散置1~2張於俱樂部桌面。
俱樂部報紙偷夾1張進入同時採用中",最近剛加入fb林口蜂巢公開社團，希望過一陣子加入秘密社團後，能知道當地蜜蜂怎麼突破林口當地眾多大樓社區而帶來之信箱不外露的投放困難點...,
2014/4/15 下午 8:07:53,服貿原貌/服貿醫療,Becky,高雄市,大學各系信箱,50,4/15/2014,各系班級信箱發送完畢！接下來是鄰近住宅區！,信箱在辦公室，害怕老師一直看，不過發送的很順利。,
2014/4/15 下午 8:17:15,Bee140409條例比較版,hedi ,新北市三重區,天台廣場路口,90,20130415,"天台廣場90份(對折)
發送時間大概40分鐘

發送時的話術:
監督條例比比看(很少人聽懂)
關心國家大事(可能有人有罪惡感就有拿)","好想穿sm鉚釘裝
鞭打路人說:快看!!給我看!!(啪啪啪)
不要再不關心國家大事了
/
一直有人用噁心的眼神看我，為何!!!是因為我沒有眉毛嗎",
2014/4/15 下午 8:28:18,http://ppt.cc/h6BG(服貿對看病有什麼影響)&小蜜蜂v20140405(監督條例漫畫版),ambba,新北市新店區,中正路382巷,100份,2013/4/15,無，有些人轉頭看了我兩眼，但沒什麼特殊狀況,,
2014/4/15 下午 8:43:02,"服貿醫療版A5,小蜜蜂v20140405,兩岸協議監督條例比較版-4,馬政府 正在騙我們的事-1",fool,新北市蘆洲區,長安街131巷,50,04/15/2014,"第一次發送....原本以為50份很多....結果才發不到半條街就發完了....Orz.....真不好意思>""<
下次會印多份一點>艸<","去影印店印傳單時老闆娘剛好看到,表示:喔~最近很多人印這個捏~可是我覺得你印這幾份字太多了啦=3=我的話喜歡這個版本的,這個比較切身會比較有感覺(掏樣本(應該是別隻小蜜蜂印的醫療板XDDD))
我:喔喔我也有印不同款的醫療板(亮剛印好的成品
老闆娘:喔喔這個也不錯(當場拿來印了一份自己留存的XDDD

心得:到處都有蜂群出沒呢XDD原本一開始去印還有點害羞(羞屁阿)下次會更自然的開口要印多份一點吧XDDD",
2014/4/15 下午 8:55:59,最後一本書+台灣輸韓國十年,,台中市大肚區,大明一街、二街,100,04/14/2014,只發了大明一街、二街跟大德三街、五街包起來的範圍，很小一圈Orz原本也想到靜態公園周邊去，不過只發了這邊就分完了...,,
2014/4/15 下午 8:57:46,先立法在審查 ;行政民間比較版,viga,台北市中正區文盛里,羅斯福路三段204巷,各100左右,4/15/2014,"下午兩點去發
文盛里住戶比想像的多(汗)",,
2014/4/15 下午 9:08:36,服貿對醫療的影響,nightside,台北市內湖區,內湖路三段141巷,150,04/15/2014,順利。,100份半小時就塞完信箱了，應該至少要500份起跳。,
2014/4/15 下午 9:13:26,Bee140409M醫療版,,花蓮市,慈濟醫院,62,04/15/2014,,很順利，一般人都會拿。我先很簡單的說這是公聽會上醫生表達的擔心的問題，我們把它整理出來讓大家參考。如果對方好像有意願我就會進一步問他知不知道服貿，然後稍微解釋一下傳單內容。這張圖多我覺得大家當場看的意願頗高。,
2014/4/15 下午 9:26:23,bee140409M,beebee,新北市蘆洲區,正合街40號到120號,150,04/15/2014,,,
